PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Country,ExternalSourceRow
2,0,3,"Abbott, Mr. Eugene Joseph",male,13.0,0,2,2673.0,20.05,,S,United States,2
4,1,3,"Abbott, Mrs. Rhoda Mary 'Rosa'",female,39.0,1,1,2673.0,20.05,,S,England,4
5,1,3,"Abelseth, Miss. Karen Marie",female,16.0,0,0,348125.0,7.13,,S,Norway,5
6,1,3,"Abelseth, Mr. Olaus Jørgensen",male,25.0,0,0,348122.0,7.13,,S,United States,6
8,1,2,"Abelson, Mrs. Hannah",female,28.0,1,0,3381.0,24.0,,C,France,8
9,1,3,"Abī-Al-Munà, Mr. Nāsīf Qāsim",male,27.0,0,0,2699.0,18.1509,,C,Lebanon,9
10,1,3,"Abrahamsson, Mr. Abraham August Johannes",male,20.0,0,0,3101284.0,7.1806,,S,Finland,10
11,0,3,"Ådahl, Mr. Mauritz",male,30.0,0,0,7076.0,7.05,,S,Sweden,11
13,0,3,"Ahlin, Mrs. Johanna Persdotter",female,40.0,1,0,7546.0,9.0906,,S,Sweden,13
14,1,3,"Aks, Master. Frank Philip",male,0.8333333333,0,1,392091.0,9.07,,S,England,14
15,1,3,"Aks, Mrs. Leah",female,18.0,0,1,392091.0,9.07,,S,England,15
16,0,2,"Aldworth, Mr. Augustus Henry",male,35.0,0,0,248744.0,13.0,,S,England,16
17,0,3,"Alexander, Mr. William Albert",male,25.0,0,0,3474.0,7.1709,,S,England,17
25,0,1,"Allison, Mr. Hudson Joshua Creighton",male,30.0,1,2,113781.0,151.16,,S,Canada,25
26,0,1,"Allison, Mrs. Bessie Waldo",female,25.0,1,2,113781.0,151.16,,S,United States,26
28,0,3,"Al-Munà, Mr. Farīd Husayn Qāsim",male,19.0,0,0,2700.0,7.0407,,C,Lebanon,28
30,0,3,"Andersen, Mr. Albert Karvin",male,33.0,0,0,4001.0,22.1006,,S,Norway,30
36,0,3,"Andersson, Miss. Ida Augusta Margareta",female,38.0,4,2,347091.0,7.1506,,S,Sweden,36
40,0,3,"Andersson, Mr. Johan Samuel",male,26.0,0,0,347075.0,7.1506,,S,Sweden,40
41,0,3,"Andersson, Mrs. Alfrida Konstantia Brogren",female,39.0,1,5,347082.0,31.0506,,S,Sweden,41
42,0,3,"Andreasson, Mr. Pål Edvin",male,20.0,0,0,347466.0,7.1701,,S,Sweden,42
43,0,2,"Andrew, Mr. Edgar Samuel",male,17.0,0,0,231945.0,11.1,,S,Argentina,43
44,0,2,"Andrew, Mr. Frank Thomas",male,27.0,0,0,34050.0,10.1,,S,England,44
46,0,1,"Andrews, Mr. Thomas",male,39.0,0,0,112050.0,,,B,Northern Ireland,46
47,0,3,"Angheloff, Mr. Minko",male,26.0,0,0,349202.0,7.1711,,S,Bulgaria,47
48,1,2,"Angle, Mrs. Florence Agnes",female,36.0,1,0,226875.0,26.0,,S,England,48
49,0,2,"Angle, Mr. William",male,31.0,1,0,226875.0,26.0,,S,England,49
50,1,1,"Appleton, Mrs. Charlotte",female,53.0,2,0,11769.0,51.0907,,S,United States,50
52,0,3,"Arnold-Franchi, Mrs. Josefine",female,18.0,1,0,349237.0,17.16,,S,Switzerland,52
53,0,3,"Aronsson, Mr. Ernst Axel Algot",male,25.0,0,0,349911.0,7.1506,,S,Sweden,53
55,0,2,"Ashby, Mr. John",male,57.0,0,0,244346.0,13.0,,S,England,55
57,0,3,"Asplund, Master. Carl Edgar",male,5.0,4,2,347077.0,31.0709,,S,Sweden,57
